Date,y
5/24/2019,224950
5/24/2019,29150
5/24/2019,33000
5/24/2019,124300
5/24/2019,232650
5/24/2019,9350
5/24/2019,190300
5/24/2019,79750
5/24/2019,71500
5/24/2019,78100
5/24/2019,240900
5/24/2019,174350
5/24/2019,130900
5/24/2019,25850
5/24/2019,112200
5/24/2019,48950
5/24/2019,176550
5/24/2019,36850
5/24/2019,387750
5/24/2019,100100
5/24/2019,179850
5/24/2019,112750
5/24/2019,48950
5/25/2019,118800
5/25/2019,90200
5/25/2019,67100
5/25/2019,39050
5/25/2019,48400
5/25/2019,149600
5/25/2019,36850
5/25/2019,192500
5/25/2019,115500
5/25/2019,84700
5/25/2019,22000
5/25/2019,105600
5/25/2019,239800
5/25/2019,131450
5/25/2019,234850
5/25/2019,88550
5/25/2019,156750
5/25/2019,106700
5/25/2019,366850
5/25/2019,95700
5/25/2019,110550
5/25/2019,73700
5/25/2019,59950
5/25/2019,108900
5/25/2019,182050
5/25/2019,150150
5/25/2019,139700
5/25/2019,50600
5/25/2019,75900
5/25/2019,112750
5/25/2019,111650
5/25/2019,80850
5/25/2019,19800
5/25/2019,63800
5/25/2019,70400
5/25/2019,123750
5/25/2019,157300
5/25/2019,269500
5/25/2019,90750
5/25/2019,176000
5/25/2019,83600
5/25/2019,79750
5/25/2019,52800
5/25/2019,115500
5/25/2019,121000
5/25/2019,85250
5/25/2019,90200
5/25/2019,64900
5/25/2019,84150
5/25/2019,23100
5/25/2019,69300
5/25/2019,12100
5/25/2019,174900
5/25/2019,167750
5/25/2019,77550
5/25/2019,132000
5/25/2019,190850
5/25/2019,220000
5/25/2019,99000
5/25/2019,166650
5/25/2019,91300
5/25/2019,72600
5/25/2019,73700
5/25/2019,163900
5/25/2019,52250
5/25/2019,11000
5/25/2019,140250
5/25/2019,109450
5/25/2019,72050
5/25/2019,52250
5/25/2019,159500
5/25/2019,105600
5/25/2019,105050
5/25/2019,262350
5/25/2019,91850
5/25/2019,122650
5/25/2019,48950
5/25/2019,100100
5/25/2019,36300
5/25/2019,173800
5/25/2019,89100
5/25/2019,118250
5/25/2019,86900
5/25/2019,102300
5/25/2019,129250
5/25/2019,99550
5/25/2019,5225
5/26/2019,93500
5/26/2019,336600
5/26/2019,299200
5/26/2019,195800
5/26/2019,575300
5/26/2019,141350
5/26/2019,113850
5/26/2019,95150
5/26/2019,53900
5/26/2019,672100
5/26/2019,88000
5/26/2019,44000
5/26/2019,230450
5/26/2019,47300
5/26/2019,51700
5/26/2019,200200
5/26/2019,53900
5/26/2019,52250
5/26/2019,52250
5/26/2019,158950
5/26/2019,53900
5/26/2019,185900
5/26/2019,120450
5/26/2019,51700
5/26/2019,301400
5/26/2019,235950
5/26/2019,140250
5/26/2019,127600
5/26/2019,423500
5/26/2019,1650
5/26/2019,117700
5/26/2019,94600
5/26/2019,59400
5/26/2019,61600
5/26/2019,77000
5/26/2019,382800
5/26/2019,50050
5/26/2019,247500
5/26/2019,109450
5/26/2019,102850
5/26/2019,22550
5/26/2019,146300
5/26/2019,240350
5/26/2019,18700
5/26/2019,151800
5/26/2019,237050
5/26/2019,34100
5/26/2019,56100
5/26/2019,150150
5/26/2019,66000
5/26/2019,152350
5/26/2019,141350
5/26/2019,261800
5/26/2019,122100
5/26/2019,57200
5/26/2019,126500
5/26/2019,186450
5/26/2019,337150
5/26/2019,61600
5/26/2019,184250
